,symbol,company_name,series,face_value,purpose,ex_date,record_date,bc_start_date,bc_end_date
333,FIVECORE,null,SM,,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,27-Sep-2018
334,GODHA,null,SM,,ANNUAL GENERAL MEETING,18-Sep-2018,,20-Sep-2018,26-Sep-2018
335,VERTOZ,Vertoz Advertising Limited,SM,10,BONUS 1:1,02-Jan-2020,03-Jan-2020,,
336,SOFTTECH,null,SM,,ANNUAL GENERAL MEETING/DIVIDEND RE 0.50 PER SHARE,18-Sep-2018,,21-Sep-2018,28-Sep-2018
337,BRIGHT,Bright Solar Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND RE 0.10 PER SHARE,12-Sep-2018,,15-Sep-2018,28-Sep-2018
338,CREATIVE,Creative Peripherals and Distribution Limited,SM,10,ANNUAL GENERAL MEETING,23-Aug-2017,,27-Aug-2017,10-Sep-2017
339,KRITIKA,Kritika Wires Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2019,,24-Sep-2019,30-Sep-2019
340,SILGO,Silgo Retail Limited,SM,10,ANNUAL GENERAL MEETING,05-Nov-2019,,07-Nov-2019,14-Nov-2019
341,SAKAR,Sakar Healthcare Limited,SM,10,ANNUAL GENERAL MEETING,05-Sep-2018,,07-Sep-2018,20-Sep-2018
342,SAKAR,Sakar Healthcare Limited,SM,10,ANNUAL GENERAL MEETING,06-Sep-2017,,08-Sep-2017,20-Sep-2017
343,STEELCITY,Steel City Securities Limited,SM,10,DIVIDEND- RS 0.50 PER SHARE,21-Aug-2018,,24-Aug-2018,31-Aug-2018
344,SANGINITA,Sanginita Chemicals Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2017,,21-Sep-2017,28-Sep-2017
345,LIBAS,Libas Designs Limited,SM,10,BONUS 1:2,21-Sep-2018,24-Sep-2018,,
